"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WLFR6368","conferencePaper","2005","Hogue, Andrew; Karger, David","Thresher: automating the unwrapping of semantic content from the World Wide Web","Proceedings of the 14th international conference on World Wide Web  - WWW '05","978-1-59593-046-0","","10.1145/1060745.1060762","http://portal.acm.org/citation.cfm?doid=1060745.1060762","We describe Thresher, a system that lets non-technical users teach their browsers how to extract semantic web content from HTML documents on the World Wide Web. Users specify examples of semantic content by highlighting them in a web browser and describing their meaning. We then use the tree edit distance between the DOM subtrees of these examples to create a general pattern, or wrapper, for the content, and allow the user to bind RDF classes and predicates to the nodes of these wrappers. By overlaying matches to these patterns on standard documents inside the Haystack semantic web browser, we enable a rich semantic interaction with existing web pages, “unwrapping” semantic data buried in the pages’ HTML. By allowing end-users to create, modify, and utilize their own patterns, we hope to speed adoption and use of the Semantic Web and its applications.","2005","2020-01-03 16:59:13","2020-01-03 16:59:14","2020-01-03 16:59:13","86","","","","","","Thresher","","","","","ACM Press","Chiba, Japan","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/SGZ4PK28/Hogue and Karger - 2005 - Thresher automating the unwrapping of semantic co.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 14th international conference","","","","","","","","","","","","","","",""
"NIVQ67NY","webpage","2020","","Airtable","Airtable","","","","https://airtable.com","Airtable works like a spreadsheet but gives you the power of a database to organize anything. Sign up for free.","2020","2020-01-03 20:52:19","2020-05-16 01:46:10","2020-01-03 20:52:19","","","","","","","Airtable","","","","","","","","","","","","","","","","/Users/geoffreylitt/Zotero/storage/8UKHXPNG/airtable.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUGXAT3B","conferencePaper","2016","Bakke, Eirik; Karger, David R.","Expressive Query Construction through Direct Manipulation of Nested Relational Results","Proceedings of the 2016 International Conference on Management of Data - SIGMOD '16","978-1-4503-3531-7","","10.1145/2882903.2915210","http://dl.acm.org/citation.cfm?doid=2882903.2915210","Despite extensive research on visual query systems, the standard way to interact with relational databases remains to be through SQL queries and tailored form interfaces. We consider three requirements to be essential to a successful alternative: (1) query speciﬁcation through direct manipulation of results, (2) the ability to view and modify any part of the current query without departing from the direct manipulation interface, and (3) SQL-like expressiveness. This paper presents the ﬁrst visual query system to meet all three requirements in a single design. By directly manipulating nested relational results, and using spreadsheet idioms such as formulas and ﬁlters, the user can express a relationally complete set of query operators plus calculation, aggregation, outer joins, sorting, and nesting, while always remaining able to track and modify the state of the complete query. Our prototype gives the user an experience of responsive, incremental query building while pushing all actual query processing to the database layer. We evaluate our system with formative and controlled user studies on 28 spreadsheet users; the controlled study shows our system signiﬁcantly outperforming Microsoft Access on the System Usability Scale.","2016","2020-01-04 21:01:55","2020-01-04 21:01:55","2020-01-04 21:01:55","1377-1392","","","","","","","","","","","ACM Press","San Francisco, California, USA","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/UAXRC2LC/Bakke and Karger - 2016 - Expressive Query Construction through Direct Manip.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2016 International Conference","","","","","","","","","","","","","","",""
"NHMC7MDW","conferencePaper","2011","Eagan, James R.; Beaudouin-Lafon, Michel; Mackay, Wendy E.","Cracking the cocoa nut: user interface programming at runtime","Proceedings of the 24th annual ACM symposium on User interface software and technology - UIST '11","978-1-4503-0716-1","","10.1145/2047196.2047226","http://dl.acm.org/citation.cfm?doid=2047196.2047226","This article introduces runtime toolkit overloading, a novel approach to help third-party developers modify the interaction and behavior of existing software applications without access to their underlying source code. We describe the abstractions provided by this approach as well as the mechanisms for implementing them in existing environments. We describe Scotty, a prototype implementation for Mac OS X Cocoa that enables developers to modify existing applications at runtime, and we demonstrate a collection of interaction and functional transformations on existing off-the-shelf applications. We show how Scotty helps a developer make sense of unfamiliar software, even without access to its source code. We further discuss what features of future environments would facilitate this kind of runtime software development.","2011","2020-01-07 19:03:22","2020-01-07 19:03:22","2020-01-07 19:03:22","225","","","","","","Cracking the cocoa nut","","","","","ACM Press","Santa Barbara, California, USA","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/EBX2GJRX/Eagan et al. - 2011 - Cracking the cocoa nut user interface programming.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 24th annual ACM symposium","","","","","","","","","","","","","","",""
"SMWWR6YI","journalArticle","2018","Sarkar, Advait; Gordon, Andy; Jones, Simon Peyton; Toronto, Neil","Calculation View: multiple-representation editing in spreadsheets","","","","","https://www.microsoft.com/en-us/research/publication/calculation-view-multiple-representation-editing-in-spreadsheets/","Spreadsheet errors are ubiquitous and costly, an unfortunate combination that is well-reported. A large class of these errors can be attributed to the inability to clearly see the underlying computational structure, as well as poor support for abstraction (encapsulation, re-use, etc). In this paper we propose a novel solution: a multiple-representation spreadsheet containing additional representations …","2018-10-11","2020-01-10 15:01:34","2020-01-10 15:01:34","2020-01-10 15:01:34","","","","","","","Calculation View","","","","","","","en-US","","","","","www.microsoft.com","","","","/Users/geoffreylitt/Zotero/storage/H9QZBRSC/Sarkar et al. - 2018 - Calculation View multiple-representation editing .pdf; /Users/geoffreylitt/Zotero/storage/7EV4V9XU/calculation-view-multiple-representation-editing-in-spreadsheets.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMYUVMA5","conferencePaper","2009","Liu, Bin; Jagadish, H. V.","A Spreadsheet Algebra for a Direct Data Manipulation Query Interface","2009 IEEE 25th International Conference on Data Engineering","","","10.1109/ICDE.2009.34","","A spreadsheet-like ""direct manipulation"" interface is more intuitive for many non-technical database users compared to traditional alternatives, such as visual query builders. The construction of such a direct manipulation interface may appear straightforward, but there are some significant challenges. First, individual direct manipulation operations cannot be too complex, so expressive power has to be achieved through composing (long) sequences of small operations. Second, all intermediate results are visible to the user, so grouping and ordering are material after every small step. Third, users often find the need to modify previously specified queries. Since manipulations are specified one step at a time, there is no actual queryexpression to modify. Suitable means must be provided to address this need. Fourth, the order in which manipulations are performed by the user should not affect the results obtained, to avoid user confusion. We address the aforementioned challenges by designing a new spreadsheet algebra that: i) operates on recursively grouped multi-sets, ii) contains a selectively designed set of operators capable of expressing at least all single-block SQL queries and can be intuitively implemented in a spreadsheet, iii) enables query modification by the notion of modifiable query state, and iv) requires no ordering in unary data manipulation operators since they are all designed to commute. We built a prototype implementation of the spreadsheet algebra and show, through user studies with non-technical subjects, that the resultant query interface is easier to use than a standard commercial visual query builder.","2009-03","2020-04-20 18:09:32","2020-04-20 18:09:32","","417-428","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2375-026X","","/Users/geoffreylitt/Zotero/storage/M3AFJ2UA/Liu and Jagadish - 2009 - A Spreadsheet Algebra for a Direct Data Manipulati.pdf; /Users/geoffreylitt/Zotero/storage/576BWR2D/4812422.html","","","Algebra; Data analysis; Data engineering; database usability; direct data manipulation query interface; Humans; Presses; Prototypes; query processing; Relational databases; single-block SQL queries; spreadsheet; spreadsheet algebra; spreadsheet programs; Spreadsheet programs; SQL; USA Councils; user interface; Visual databases; visual query builders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009 IEEE 25th International Conference on Data Engineering","","","","","","","","","","","","","","",""
"5HFP4VZ7","conferencePaper","2007","Cook, William R.","AppleScript","Proceedings of the third ACM SIGPLAN conference on History of programming languages  - HOPL III","","","10.1145/1238844.1238845","http://portal.acm.org/citation.cfm?doid=1238844.1238845","","2007","2020-05-08 13:55:39","2020-05-08 13:55:39","2020-05-08 13:55:39","1-1-1-21","","","","","","","","","","","ACM Press","San Diego, California","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/4ZFGV2YC/4ZFGV2YC.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the third ACM SIGPLAN conference","","","","","","","","","","","","","","",""
"VWCXVUXQ","conferencePaper","1994","Trigg, Randall H.; Bødker, Susanne","From implementation to design: tailoring and the emergence of systematization in CSCW","Proceedings of the 1994 ACM conference on Computer supported cooperative work","978-0-89791-689-9","","10.1145/192844.192869","http://doi.org/10.1145/192844.192869","In this paper, we look at how people working in a governmental labor inspection agency tailor their shared PC environment. Starting with standard off-the-shelf software, the tailors adapt that software to the particular workplace in which they are embedded, at the same time that they modify and extend the practices of that workplace. Over time, their adaptations and the tailoring processes themselves become structured and systematized within the organization. This tendency toward systematization is in part a response to the requirement that the results of tailoring be sharable across groups of users. Our study focuses on several dimensions of the work of tailoring: construction, organizational change, learning, and politics. We draw two kinds of lessons for system development: how better to support the work of tailors, and how system developers can learn from and cooperate with tailors.","1994-10-22","2020-05-14 17:27:24","2020-05-14 17:28:14","2020-05-14","45–54","","","","","","From implementation to design","CSCW '94","","","","Association for Computing Machinery","Chapel Hill, North Carolina, USA","","","","","","ACM Digital Library","","","","/Users/geoffreylitt/Zotero/storage/YKXY2L95/Trigg and Bødker - 1994 - From implementation to design tailoring and the e.pdf","","customizable software","customization; development and use of shared standards; emergent use of standard technology; tailoring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5MGVZ6F","bookSection","2010","Cypher, Allen","End user programming on the Web","No Code Required","978-0-12-381541-5","","","https://linkinghub.elsevier.com/retrieve/pii/B9780123815415000018","This introduction explains who end users are and why they want to program. In the past 25 years, there have been two main approaches to enable end users to create their own programs: scripting languages and programming by demonstration. After outlining the challenges that confront these approaches, we shall see how the Web has removed some of the most significant barriers, opening the way for the recent progress that is detailed in this book.","2010","2020-05-16 15:06:37","2020-05-16 15:06:37","2020-05-16 15:06:37","3-22","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-381541-5.00001-8","","/Users/geoffreylitt/Zotero/storage/DS4X22YE/Cypher - 2010 - End user programming on the Web.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ6NAK85","bookSection","2010","Chilton, Lydia B.; Miller, Robert C.; Little, Greg; Yu, Chen-Hsiang","Why we customize the Web","No Code Required","978-0-12-381541-5","","","https://linkinghub.elsevier.com/retrieve/pii/B978012381541500002X","The Web is increasingly an application platform comparable to the desktop, but its openness enables more customizations than were possible on the desktop. This chapter examines the kinds of customization seen on the Web, focusing on the highly extensible Mozilla Firefox Web browser, and compares and contrasts the motivations for Web customization with desktop customization.","2010","2020-05-16 15:06:38","2020-05-16 15:06:38","2020-05-16 15:06:38","23-35","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-381541-5.00002-X","","/Users/geoffreylitt/Zotero/storage/CPDBUMWR/Chilton et al. - 2010 - Why we customize the Web.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4BA9D4E","bookSection","2010","Miller, Robert C.; Bolin, Michael; Chilton, Lydia B.; Little, Greg; Webber, Matthew; Yu, Chen-Hsiang","Rewriting the Web with Chickenfoot","No Code Required","978-0-12-381541-5","","","https://linkinghub.elsevier.com/retrieve/pii/B9780123815415000031","On the desktop, an application can expect to control its user interface down to the last pixel, but on the World Wide Web, a content provider has no control over how the client will view the page, once delivered to the browser. This creates an opportunity for end users who want to automate and customize their Web experiences, but the growing complexity of Web pages and standards prevents most users from realizing this opportunity. This chapter describes Chickenfoot, a programming system embedded in the Firefox Web browser, which enables end users to automate, customize, and integrate Web applications without examining their source code. One way Chickenfoot addresses this goal is a technique for identifying page components by keyword pattern matching. We motivate this technique by studying how users name Web page components, and present a heuristic keyword matching algorithm that identifies the desired component from the user’s name. We describe a range of applications that have been created using Chickenfoot and reflect on its advantages and limitations.","2010","2020-05-16 15:06:39","2020-05-16 15:06:39","2020-05-16 15:06:39","39-63","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-381541-5.00003-1","","/Users/geoffreylitt/Zotero/storage/L74PCDWX/Miller et al. - 2010 - Rewriting the Web with Chickenfoot.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65VXNIAV","bookSection","2010","Cypher, Allen; Drews, Clemens; Haber, Eben; Kandogan, Eser; Lin, James; Lau, Tessa; Leshed, Gilly; Matthews, Tara; Wilcox, Eric","Collaborative scripting for the Web","No Code Required","978-0-12-381541-5","","","https://linkinghub.elsevier.com/retrieve/pii/B9780123815415000055","Today’s knowledge workers interact with a variety of Web-based tasks in the course of their jobs. We have found that two of the challenges faced by these workers are automation of repetitive tasks, and support for complex or hard-to-remember tasks. This chapter presents CoScripter, a system that enables users to capture, share, and automate tasks on the Web. CoScripter’s most notable features include ClearScript, a scripting language that is both human-readable and machine-understandable, and built-in support for sharing via a Web-based script repository. CoScripter has been used by tens of thousands of people on the Web. Our user studies show that CoScripter has helped people both automate repetitive Web tasks, and share how-to knowledge inside the enterprise.","2010","2020-05-16 15:06:41","2020-05-16 15:06:41","2020-05-16 15:06:41","85-104","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-12-381541-5.00005-5","","/Users/geoffreylitt/Zotero/storage/U84JQNIC/Cypher et al. - 2010 - Collaborative scripting for the Web.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKRDE2EX","webpage","","","Cocoa Scripting","","","","","https://developer.apple.com/library/archive/documentation/Cocoa/Conceptual/AppArchitecture/Concepts/Scripting.html","","","2020-05-19 01:01:50","2020-05-19 01:02:05","2020-05-19 01:01:50","","","","","","","","","","","","","","","","","","","","","","","/Users/geoffreylitt/Zotero/storage/IJQ3ZSSW/Scripting.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
